Activity Type,Date,Month,Distance,Calories,Avg HR,Max HR,Avg Speed,Max Speed,Total Ascent,Avg Bike Cadence,Max Bike Cadence,Normalized Power? (NP?),Max Avg Power (20 min),Avg Power,Max Power
Virtual Cycling,2021/7/30,2021-07,15.09,310,132,168,20.8,81.9,271,71,100,185,178,128,360
Virtual Cycling,2021/7/24,2021-07,27.85,551,136,150,25,85.2,492,84,94,152,166,144,232
Virtual Cycling,2021/7/22,2021-07,30.1,620,137,164,24.5,58.9,368,85,128,156,184,146,255
Virtual Cycling,2021/7/21,2021-07,9.11,198,138,181,20.2,59.9,162,81,96,182,148,128,313
Virtual Cycling,2021/7/17,2021-07,37.84,567,141,160,37.3,59,127,84,99,162,163,158,276
Virtual Cycling,2021/7/16,2021-07,32.06,499,131,144,29.5,61.9,226,84,93,135,188,133,198
Virtual Cycling,2021/7/14,2021-07,41.59,644,140,154,33.3,49.4,179,86,94,151,155,149,202
Virtual Cycling,2021/7/13,2021-07,32.03,646,136,159,24.6,82.4,571,82,95,164,175,144,229
Virtual Cycling,2021/7/11,2021-07,32.29,542,131,143,27.2,64.8,246,84,94,135,167,132,189
Virtual Cycling,2021/7/9,2021-07,37.28,548,139,152,36.5,45,57,83,101,158,161,155,265
Virtual Cycling,2021/7/8,2021-07,37.08,617,140,164,30.8,57.4,178,87,100,163,171,149,257
Virtual Cycling,2021/7/7,2021-07,20.13,362,143,163,30.4,58.9,106,76,146,179,198,159,265
Virtual Cycling,2021/7/3,2021-07,31.49,875,143,174,18,74,1061,70,101,176,191,146,304
Virtual Cycling,2021/7/2,2021-07,34,551,137,157,33.7,61.7,172,80,117,164,172,156,336
Virtual Cycling,2021/6/30,2021-06,38.73,596,140,0,38.4,61.4,129,85,110,174,176,170,338
Virtual Cycling,2021/6/29,2021-06,16.43,376,135,159,21.8,41.2,48,90,124,180,162,143,446
Virtual Cycling,2021/6/28,2021-06,34.83,527,133,152,34.7,55.4,109,80,113,152,159,148,254
Virtual Cycling,2021/6/26,2021-06,45.53,784,145,165,33.7,67.8,443,82,105,175,184,164,442
Virtual Cycling,2021/6/25,2021-06,36.49,659,144,169,32.5,51.5,84,82,107,186,184,165,772
Virtual Cycling,2021/6/24,2021-06,18.35,411,137,154,24.2,52,202,83,110,164,169,157,325
Virtual Cycling,2021/6/23,2021-06,27.23,496,143,161,31.1,66.8,154,86,105,191,176,164,640
Virtual Cycling,2021/6/22,2021-06,27.52,538,137,157,27.4,58,179,76,97,167,163,151,563
Virtual Cycling,2021/6/20,2021-06,31.11,598,154,168,34.1,50.4,183,85,101,189,189,181,680
Virtual Cycling,2021/6/19,2021-06,24.68,499,141,168,26.2,74.4,398,82,103,186,174,153,495
Virtual Cycling,2021/6/17,2021-06,24.34,453,127,155,23.4,64.5,231,75,99,159,170,126,296
Virtual Cycling,2021/6/16,2021-06,39.19,646,150,176,36.5,53.2,154,82,107,171,182,163,684
Virtual Cycling,2021/6/13,2021-06,22.15,438,143,0,25.3,69.5,362,87,118,165,168,145,291
Virtual Cycling,2021/6/12,2021-06,30.11,488,148,171,32.5,48.5,135,82,102,189,171,153,480
Virtual Cycling,2021/6/8,2021-06,19.61,474,142,166,21.6,81.2,442,85,102,174,173,151,338
Virtual Cycling,2021/6/6,2021-06,31.52,855,144,0,17.1,74.4,1061,64,132,161,180,135,456
Virtual Cycling,2021/6/2,2021-06,18.79,458,145,165,21.6,83.7,438,84,99,182,173,153,339
Virtual Cycling,2021/5/31,2021-05,31.14,510,141,171,31.2,55.6,146,83,100,165,164,148,294
Virtual Cycling,2021/5/29,2021-05,39.02,1054,149,175,16.1,74.4,1170,73,100,150,166,126,393
Virtual Cycling,2021/5/27,2021-05,32.04,517,149,172,32.4,64,225,84,111,168,176,152,364
Virtual Cycling,2021/5/24,2021-05,28.16,460,149,169,32.3,61,202,85,107,172,171,153,511
Virtual Cycling,2021/5/19,2021-05,20.94,506,155,174,21.2,82.9,477,86,97,174,164,149,307
Virtual Cycling,2021/5/17,2021-05,13.36,238,136,162,26.3,54.6,176,77,100,160,154,136,334
Virtual Cycling,2021/5/12,2021-05,21.4,318,147,174,30.7,49.2,98,82,114,168,148,133,666
Virtual Cycling,2021/5/9,2021-05,5.52,125,134,179,22.8,36,112,86,98,183,160,150,305
Virtual Cycling,2021/4/20,2021-04,20.05,374,131,162,25.4,66.4,345,80,100,156,163,137,342
Virtual Cycling,2021/4/17,2021-04,18.66,313,141,172,33.8,45.8,65,85,101,187,196,165,610
Virtual Cycling,2021/4/9,2021-04,28.95,472,140,164,29.1,65.6,161,86,120,153,161,137,365
Virtual Cycling,2021/4/8,2021-04,24.65,462,138,169,24.6,75.4,391,90,123,164,155,134,314
Virtual Cycling,2021/4/1,2021-04,20.08,347,146,170,34.7,54.6,55,80,94,184,189,174,472
Virtual Cycling,2021/3/30,2021-03,30.18,511,138,165,29,66.7,190,81,110,152,160,142,244
Virtual Cycling,2021/3/26,2021-03,14.39,309,135,156,25.6,55.3,135,74,129,181,178,161,396
Virtual Cycling,2021/3/24,2021-03,22.35,906,149,171,14.3,73,1060,74,96,177,184,169,464
Virtual Cycling,2021/3/23,2021-03,32.73,548,145,164,32.6,62.2,152,83,118,170,184,158,287
Virtual Cycling,2021/3/19,2021-03,17.27,439,149,172,23.7,82.1,428,74,120,187,194,175,373
Virtual Cycling,2021/3/17,2021-03,25.13,583,147,166,23.8,87,498,78,107,175,183,160,441
Virtual Cycling,2021/3/15,2021-03,32.81,538,144,169,31.6,60.2,156,82,122,165,170,150,257
Virtual Cycling,2021/3/13,2021-03,43.43,716,148,167,31.8,50.2,206,81,110,163,174,152,295
Virtual Cycling,2021/3/11,2021-03,31.11,498,139,166,31,59.5,146,85,117,161,170,144,280
Virtual Cycling,2021/3/10,2021-03,15.86,428,127,162,16.4,78.3,414,81,170,146,169,129,340
Virtual Cycling,2021/3/9,2021-03,33.67,508,133,165,32.1,49.7,150,81,110,165,174,142,740
Virtual Cycling,2021/3/6,2021-03,9.66,150,131,156,32.1,48.4,32,78,96,160,190,145,248
Virtual Cycling,2021/3/4,2021-03,31.58,894,139,160,15.7,75.4,1058,65,103,154,170,130,275
Virtual Cycling,2021/3/3,2021-03,19.11,290,137,156,31.3,46.4,70,77,94,154,160,138,243
Virtual Cycling,2021/3/1,2021-03,20.42,479,137,158,19.6,84.1,453,81,142,142,140,133,442
Virtual Cycling,2021/2/26,2021-02,28.27,414,139,160,32,49.8,133,80,131,147,154,136,402
Virtual Cycling,2021/2/21,2021-02,11.76,161,122,165,28.1,46.2,23,64,93,158,124,112,291
Virtual Cycling,2021/1/27,2021-01,12.17,208,120,159,24.4,60.7,117,62,106,169,158,125,463
Virtual Cycling,2021/1/25,2021-01,13.69,234,120,155,26.9,59.8,70,63,121,159,159,135,303
Virtual Cycling,2021/1/19,2021-01,31.02,433,127,151,29.3,50.7,186,85,116,122,127,119,204
Virtual Cycling,2021/1/16,2021-01,24.81,336,126,144,29,57.7,120,85,112,116,118,114,166
Virtual Cycling,2021/1/14,2021-01,23.15,532,140,166,21.9,82.1,492,77,135,156,161,146,446
Virtual Cycling,2021/1/11,2021-01,22.48,448,153,0,23.8,85.9,416,81,102,148,156,138,257
Virtual Cycling,2021/1/7,2021-01,21.46,444,152,0,23,71.4,474,61,94,163,179,138,339
Virtual Cycling,2021/1/5,2021-01,32.97,468,146,0,30.5,51.6,150,76,117,145,144,126,369
Virtual Cycling,2020/12/31,2020-12,15.04,275,144,0,22.4,72.9,260,76,127,146,135,119,406
Virtual Cycling,2020/12/29,2020-12,17.47,397,147,0,17.7,80.4,428,70,120,152,139,119,405
Virtual Cycling,2020/12/27,2020-12,22.05,405,130,0,22,82.1,397,81,135,126,131,117,266
Virtual Cycling,2020/12/12,2020-12,29.63,451,143,0,30.1,53,79,67,130,146,151,127,464
